id_aviso;fecha_primera_vista
59146230;2026-06-22
59412452;2026-06-22
58700035;2026-06-22
59419876;2026-06-22
59268158;2026-06-22
59424229;2026-06-22
59319925;2026-06-22
59306913;2026-06-22
52975681;2026-06-22
58460411;2026-06-22
58446990;2026-06-22
59277651;2026-06-22
59178015;2026-06-22
58956970;2026-06-22
59377273;2026-06-22
59341106;2026-06-22
52975517;2026-06-22
59013387;2026-06-22
59350169;2026-06-22
59177140;2026-06-22
59372126;2026-06-22
59419955;2026-06-22
52975453;2026-06-22
58899122;2026-06-22
59153622;2026-06-22
58320571;2026-06-22
59153912;2026-06-22
58428290;2026-06-22
59233419;2026-06-22
59237268;2026-06-22
59392386;2026-06-22
59270348;2026-06-22
59372461;2026-06-22
59443034;2026-06-22
59440313;2026-06-22
59298430;2026-06-22
59446031;2026-06-23
59282200;2026-06-23
